student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
20,17,Other,Postgraduate,0.56,2.33,2.0,0.62,0.31,5.48,7.07,133,362,0,0,Poor,5,34.27,48.32,11.13,1.0
21,23,Male,Undergraduate,9.31,4.04,3.06,1.46,1.23,7.74,2.9,71,118,1,0,Good,10,60.72,31.88,91.52,64.09
22,19,Male,Undergraduate,4.5,2.2,2.14,1.24,0.0,4.42,10.82,134,179,1,0,Poor,2,19.46,62.09,20.88,1.0
23,18,Female,Postgraduate,4.79,1.45,1.71,1.96,1.78,7.41,7.04,87,203,0,0,Good,10,42.45,28.98,62.96,33.52
24,20,Male,High School,3.59,2.32,0.06,5.1,1.05,6.21,4.39,11,8,0,1,Poor,4,32.36,42.51,21.4,11.21
25,23,Male,Postgraduate,7.44,2.36,1.64,2.77,1.39,6.84,2.92,22,293,0,1,Good,6,39.78,43.72,61.0,33.03
26,18,Female,High School,5.77,2.02,1.1,3.9,1.54,6.98,8.58,57,160,1,0,Good,4,21.89,33.8,42.44,16.33
27,20,Female,Postgraduate,4.64,2.85,1.53,2.19,2.27,5.9,3.66,33,151,0,0,Average,8,32.09,30.49,55.72,30.57
28,24,Male,Undergraduate,7.3,2.05,3.02,5.01,0.16,7.51,10.48,51,182,0,0,Average,1,25.67,29.0,42.33,18.07
29,16,Female,Postgraduate,3.59,4.07,2.85,2.57,2.47,7.7,5.91,101,214,0,1,Good,5,23.79,33.22,34.11,14.7
30,23,Female,High School,3.54,2.39,2.67,5.24,1.22,5.91,4.89,38,325,1,0,Good,6,16.61,40.95,29.44,10.73
31,25,Male,High School,3.95,2.45,2.53,3.97,0.72,5.9,6.69,139,4,0,1,Average,9,31.41,52.4,52.7,23.19
32,19,Male,Postgraduate,5.52,2.41,0.0,3.91,0.26,8.16,11.43,95,306,1,1,Good,6,22.79,69.0,37.09,10.49
33,20,Male,Postgraduate,4.68,2.18,2.65,2.85,0.54,6.49,6.03,12,235,1,0,Poor,1,25.48,44.61,19.89,11.53
34,22,Male,Postgraduate,0.0,1.22,2.26,7.11,2.18,8.33,8.44,118,327,0,0,Average,6,7.26,20.37,3.39,1.0
35,17,Other,Undergraduate,3.29,3.88,1.99,5.21,0.0,10.0,9.47,22,262,0,1,Poor,9,30.52,40.36,48.19,24.3
36,21,Male,High School,2.6,2.99,2.43,2.71,2.53,4.7,3.65,113,85,1,0,Poor,8,24.24,38.06,37.5,22.18
37,22,Other,Undergraduate,4.14,1.13,2.7,1.8,2.53,6.08,10.81,81,184,0,0,Poor,5,24.77,48.89,29.46,11.46
38,18,Female,Undergraduate,5.94,0.47,3.15,2.45,2.62,6.74,6.18,119,395,1,1,Average,10,36.67,67.15,54.7,29.22
39,17,Other,Undergraduate,3.29,3.92,1.06,3.61,0.46,7.31,3.56,106,326,0,1,Average,10,42.07,45.48,50.25,31.39
40,24,Other,Postgraduate,3.58,4.91,2.06,4.25,0.0,6.92,6.73,67,25,1,1,Average,8,25.83,51.44,35.68,23.11
41,19,Other,Postgraduate,4.06,3.41,2.46,1.9,0.79,6.52,4.91,127,179,0,0,Average,8,45.88,27.33,45.83,39.8
42,21,Other,Postgraduate,0.53,2.89,1.89,1.52,3.52,7.47,8.45,2,346,1,1,Poor,4,12.74,52.2,1.0,1.0
43,16,Other,High School,2.12,0.61,2.16,1.95,1.66,6.57,5.02,131,114,0,0,Poor,3,14.39,22.39,25.29,18.54
44,18,Male,High School,2.59,2.33,2.86,2.13,1.55,7.18,8.42,33,168,0,1,Good,2,25.78,46.05,21.13,15.42
45,22,Male,High School,7.29,3.51,1.56,6.04,0.0,7.53,9.71,108,69,0,0,Average,3,28.74,30.2,49.56,14.43
46,18,Female,High School,7.24,2.22,1.6,3.7,2.39,5.93,6.58,139,50,1,0,Good,5,31.01,37.7,46.71,21.93
47,20,Female,Undergraduate,5.66,2.71,2.42,2.45,3.89,7.74,6.54,128,48,1,1,Average,3,27.49,43.1,29.45,7.95
48,20,Male,High School,4.73,0.71,2.8,4.93,2.1,6.68,5.94,141,166,0,1,Average,2,6.54,41.12,15.82,3.28
49,22,Other,High School,4.14,2.22,1.53,3.58,0.0,7.56,6.66,124,381,0,1,Good,3,22.55,49.82,23.31,16.47
50,19,Female,Undergraduate,6.14,2.62,2.25,2.36,0.0,7.07,6.6,68,14,1,0,Good,6,40.88,40.04,62.99,38.31
51,16,Other,Postgraduate,2.29,3.85,2.97,4.0,1.1,6.12,7.09,118,309,0,1,Average,6,26.45,48.16,13.75,4.33
52,22,Other,Undergraduate,6.8,1.4,4.26,5.88,0.0,6.73,7.25,131,247,1,0,Poor,2,23.45,30.69,45.1,26.65
53,20,Female,Undergraduate,2.86,3.1,1.29,1.94,1.53,6.36,6.79,67,93,1,1,Poor,4,28.87,64.48,18.61,15.41
54,23,Female,High School,4.56,0.0,2.18,6.37,2.51,5.95,11.87,105,173,1,0,Average,9,20.7,55.93,40.61,15.6
55,22,Female,Postgraduate,6.94,0.34,0.26,3.01,1.33,5.29,6.28,130,207,0,0,Average,3,29.18,37.44,42.93,26.02
56,23,Other,Undergraduate,2.1,1.94,1.29,0.0,0.58,5.78,7.18,105,273,0,1,Average,4,31.6,66.0,15.84,5.76
57,17,Other,Undergraduate,1.97,4.43,2.65,0.0,1.3,5.26,10.49,75,327,1,0,Poor,9,35.02,67.82,32.16,1.0
58,21,Male,High School,4.08,2.64,2.08,3.37,2.55,6.79,5.77,134,405,1,1,Good,10,42.23,61.42,48.76,23.74
59,23,Female,Undergraduate,4.65,1.76,1.15,3.25,2.39,6.29,6.1,113,63,1,1,Average,1,13.62,47.62,23.81,10.13
60,25,Male,Postgraduate,3.53,3.33,1.42,3.15,1.38,7.07,5.49,5,278,0,1,Good,9,39.46,49.23,39.34,22.49
61,18,Other,Undergraduate,6.63,1.37,2.28,3.55,1.63,7.76,3.8,128,337,0,1,Average,2,32.9,32.52,42.01,26.34
62,20,Male,Postgraduate,6.13,3.57,2.05,2.71,2.68,7.33,2.41,110,23,1,0,Good,2,22.34,35.07,28.39,8.36
63,24,Other,Postgraduate,4.56,2.66,2.92,0.58,2.82,8.19,5.7,43,473,0,0,Average,9,45.86,27.85,65.02,40.11
64,17,Male,Undergraduate,4.05,4.6,2.52,0.03,2.32,6.88,3.77,47,299,1,0,Average,2,29.45,38.16,20.45,10.05
65,18,Male,High School,3.05,2.15,4.48,2.49,1.15,6.25,4.76,26,171,1,0,Good,1,13.54,43.27,17.14,1.0
66,17,Female,Postgraduate,6.31,0.38,2.95,2.87,0.31,7.54,6.94,57,119,1,0,Good,8,34.49,22.37,56.05,25.53
67,17,Male,High School,6.32,3.38,2.51,3.11,1.09,5.08,2.32,117,93,1,1,Poor,6,42.24,66.5,46.57,18.01
68,19,Male,Undergraduate,4.5,2.66,2.37,1.01,1.09,9.18,6.38,76,302,1,0,Poor,1,29.04,27.5,35.08,23.12
69,21,Female,High School,4.9,1.56,3.26,3.08,1.54,7.48,6.29,17,441,0,0,Poor,3,29.04,38.91,27.83,15.16
70,25,Female,High School,2.27,2.75,0.0,1.24,2.81,6.92,3.68,97,244,1,1,Poor,7,31.7,61.19,20.69,12.34
71,16,Other,Undergraduate,8.65,1.34,2.33,1.51,1.43,8.63,5.45,41,270,0,0,Poor,6,43.23,21.17,75.28,48.56
72,24,Male,Postgraduate,5.69,4.16,0.87,2.69,1.24,6.32,5.94,40,84,1,0,Average,4,25.43,36.8,42.64,18.21
73,17,Female,Undergraduate,7.55,3.95,3.31,2.03,3.44,7.4,7.56,148,414,1,1,Good,1,30.78,63.65,44.46,21.95
74,22,Male,High School,5.53,3.05,4.04,0.55,2.05,7.29,6.32,70,89,1,1,Poor,1,33.88,52.24,29.89,18.02
75,19,Other,High School,0.5,1.05,0.68,3.82,1.7,10.0,1.0,132,313,0,0,Good,6,11.17,10.42,25.38,14.5
76,19,Male,High School,5.21,0.0,1.85,1.02,0.82,7.66,3.17,2,93,0,1,Good,4,21.89,37.07,31.25,16.13
77,21,Male,Postgraduate,6.81,1.2,1.34,2.4,1.0,4.95,7.73,24,470,0,0,Poor,9,50.33,45.28,70.97,44.71
78,25,Other,Postgraduate,2.78,2.04,1.49,3.87,0.68,9.29,10.91,87,456,0,0,Average,8,32.16,25.43,31.24,20.5
79,23,Other,Postgraduate,3.76,0.78,0.79,4.21,0.0,6.99,7.71,85,453,1,0,Average,1,16.38,47.36,23.07,1.07
80,25,Male,Postgraduate,4.22,3.31,1.52,1.43,0.0,7.43,8.74,41,187,1,0,Average,8,54.44,51.65,49.8,34.05
81,18,Other,Undergraduate,5.69,2.27,0.0,2.93,3.94,7.11,11.02,28,200,0,0,Average,5,21.93,37.07,37.68,18.66
82,19,Other,Undergraduate,3.4,3.27,1.3,4.21,1.96,8.95,9.85,134,163,1,0,Poor,1,7.28,34.14,8.31,1.0
83,19,Other,Undergraduate,1.34,3.68,0.92,2.28,0.65,6.43,4.78,48,153,0,0,Average,2,22.99,23.83,12.52,5.59
84,19,Other,Postgraduate,4.64,0.24,1.93,3.6,0.0,7.2,6.08,91,165,1,1,Poor,4,26.51,48.95,32.69,13.61
85,24,Other,High School,1.24,4.08,1.28,1.91,2.06,9.74,3.47,56,110,1,1,Poor,8,39.96,38.65,28.36,24.91
86,22,Other,High School,6.32,2.73,0.0,1.86,0.56,5.56,5.44,35,419,1,1,Good,4,29.22,67.75,39.64,15.82
87,25,Female,Postgraduate,4.18,3.72,0.74,0.41,2.47,7.71,8.94,115,178,0,0,Good,2,22.56,30.24,33.13,7.94
88,23,Other,Postgraduate,6.14,4.16,1.49,3.04,0.0,7.93,6.71,63,299,1,0,Average,4,39.69,35.67,40.46,26.92
89,22,Female,Postgraduate,3.28,4.08,1.62,1.31,0.51,5.65,6.91,2,320,1,0,Good,1,20.83,49.26,19.22,7.68
90,19,Other,Undergraduate,8.29,4.72,2.4,1.98,2.25,6.8,9.42,44,52,1,1,Good,2,25.75,62.19,33.98,15.98
91,25,Female,Postgraduate,0.02,2.11,2.93,4.46,3.69,6.67,9.27,79,366,0,0,Average,2,10.16,40.66,1.0,1.0
92,22,Male,Undergraduate,1.48,2.07,0.0,0.0,0.9,7.42,5.48,73,299,0,0,Good,7,33.95,13.38,41.01,22.94
93,22,Other,High School,4.62,2.49,1.59,3.21,0.0,8.96,7.46,128,88,1,0,Good,7,44.31,31.53,66.46,45.2
94,22,Female,High School,4.41,2.24,0.91,3.16,4.36,6.16,7.24,103,496,0,1,Poor,9,28.75,54.8,49.14,19.24
95,17,Male,Undergraduate,5.62,2.31,2.26,2.69,2.2,9.8,13.42,40,440,1,0,Average,10,39.54,51.03,66.62,32.61
96,19,Other,Undergraduate,4.38,2.46,0.21,5.14,2.55,9.81,6.02,67,233,0,0,Average,9,26.9,14.68,62.47,34.19
97,20,Male,High School,6.37,3.86,3.24,2.75,0.0,7.44,8.77,100,487,1,0,Poor,3,28.83,47.42,31.59,16.97
98,19,Male,Postgraduate,6.93,3.54,0.66,5.24,3.17,8.1,3.11,63,383,1,1,Average,6,43.45,44.77,61.38,34.72
99,17,Other,Undergraduate,5.41,4.64,2.98,1.05,3.74,8.13,1.53,109,32,0,1,Poor,6,40.36,25.33,48.99,36.37
100,16,Male,High School,4.5,2.63,1.72,2.99,1.65,8.87,1.0,47,149,1,0,Average,1,22.38,20.02,30.39,18.43
101,20,Female,High School,4.84,1.24,1.41,2.13,2.27,6.39,7.0,150,266,0,1,Average,5,12.87,7.02,37.48,28.88
102,19,Male,High School,4.56,1.63,3.29,4.42,2.37,7.16,9.14,133,400,1,0,Average,4,7.04,35.88,22.12,29.27
103,22,Other,High School,3.45,1.22,1.48,0.68,0.65,8.14,4.54,64,88,0,1,Average,6,15.91,0.0,20.42,17.98
104,16,Male,High School,4.22,1.18,1.98,1.82,2.38,6.84,4.42,92,194,1,0,Poor,4,7.61,10.43,20.18,26.73
105,22,Male,High School,6.11,0.93,2.55,1.44,2.49,4.0,4.86,37,0,0,0,Good,8,22.88,27.43,41.68,42.74
106,20,Male,High School,5.73,2.09,2.11,4.65,2.73,8.32,6.68,62,58,1,0,Good,7,12.27,13.94,35.0,32.86
107,18,Male,High School,3.39,3.5,2.74,4.35,2.67,8.78,7.8,94,212,0,1,Average,5,9.95,9.06,17.95,32.24
108,16,Other,High School,5.27,3.02,3.58,2.37,1.79,7.66,6.55,110,232,1,1,Average,4,25.29,3.04,25.95,26.68
109,25,Other,High School,3.64,0.99,3.71,3.56,1.27,6.41,8.87,99,262,1,0,Good,8,2.97,23.44,12.95,23.72
110,16,Other,High School,1.67,2.32,3.36,2.85,2.43,7.72,5.56,48,271,0,1,Good,4,4.78,1.14,8.08,1.0
111,21,Male,High School,1.29,2.55,2.01,1.05,2.83,7.83,6.63,130,105,1,0,Poor,10,11.76,13.86,23.33,19.8
112,21,Other,High School,3.27,2.01,3.67,1.48,2.02,4.0,7.64,150,421,0,0,Average,3,9.0,45.09,13.39,17.91
113,18,Other,High School,6.8,2.95,0.0,3.39,1.51,7.16,3.74,150,0,1,0,Good,8,19.81,0.0,33.53,37.93
114,19,Male,High School,5.16,0.96,0.32,2.26,0.45,5.03,7.23,150,150,0,0,Good,7,12.71,11.02,31.39,21.69
115,23,Male,High School,3.6,1.46,1.89,3.97,2.17,7.42,3.11,59,0,0,0,Poor,3,13.96,13.19,16.25,24.61
116,18,Male,High School,2.15,2.95,0.57,3.61,2.0,9.17,9.16,150,39,1,0,Poor,3,2.1,5.61,12.1,9.06
117,24,Other,High School,2.76,2.41,0.69,3.78,1.9,5.75,12.9,25,91,0,0,Good,10,12.88,32.89,19.73,44.75
118,19,Female,High School,8.55,3.14,1.13,7.29,1.79,5.14,7.2,150,287,1,0,Average,10,15.99,33.27,34.09,48.66
119,16,Other,High School,4.4,1.69,1.0,4.4,1.76,6.53,4.39,93,361,0,0,Poor,7,0.0,8.96,22.24,21.06
120,22,Male,High School,2.77,0.0,3.02,3.12,0.0,8.64,7.71,95,42,1,1,Average,2,7.82,22.76,14.65,7.79
121,17,Male,High School,5.16,0.58,2.03,3.08,0.0,7.98,8.5,22,51,1,1,Poor,8,18.03,0.64,31.44,42.5
122,19,Male,High School,5.56,2.78,0.83,0.83,3.01,5.21,7.3,128,84,0,1,Good,7,16.97,9.69,38.61,40.59
123,18,Male,High School,1.56,2.09,1.2,2.93,2.58,7.19,5.35,65,334,0,0,Average,6,2.51,13.0,9.58,13.79
124,22,Female,High School,2.34,0.61,0.18,4.29,0.96,5.61,6.58,100,332,1,0,Average,9,8.01,17.38,19.33,24.29
125,22,Female,High School,4.8,2.07,2.12,2.36,2.85,7.62,9.85,102,0,1,0,Average,5,11.2,23.95,25.82,26.37
126,17,Female,High School,4.42,0.54,1.07,2.83,0.94,6.47,9.25,140,0,0,0,Average,3,23.33,14.28,22.13,18.47
127,20,Other,High School,2.34,1.14,0.54,1.86,0.62,7.34,7.22,42,175,1,1,Poor,5,6.2,0.0,15.35,8.09
128,16,Male,High School,6.1,1.55,1.86,1.62,1.65,6.74,4.24,97,138,0,1,Good,2,25.8,1.77,38.35,33.72
129,18,Female,High School,1.25,1.82,0.24,3.9,1.38,6.11,2.82,46,151,0,1,Average,10,6.67,0.93,12.65,19.15
130,16,Female,High School,5.48,1.03,2.38,3.14,1.75,4.5,3.29,26,198,0,0,Poor,10,15.75,21.82,29.49,33.16
131,17,Female,High School,5.79,2.36,1.25,2.41,0.59,5.35,6.9,28,119,1,0,Good,4,27.85,4.88,29.5,29.57
132,17,Other,High School,3.47,2.14,1.62,2.04,2.06,6.27,6.65,92,13,1,0,Poor,3,21.9,0.0,24.5,16.81
133,19,Male,High School,5.48,3.43,1.67,2.92,1.08,8.58,8.75,109,248,0,0,Average,9,20.16,3.64,28.43,40.4
134,16,Male,High School,3.79,1.8,0.56,3.44,2.28,7.53,7.35,57,0,0,0,Poor,1,5.75,5.28,13.55,27.69
135,17,Other,High School,6.16,2.31,1.01,0.95,2.07,6.0,7.38,102,36,0,1,Good,8,20.35,6.85,39.07,39.13
136,16,Male,High School,5.27,2.24,0.59,5.47,0.44,5.62,9.86,112,286,0,1,Average,5,12.23,12.43,23.21,32.21
137,23,Female,High School,8.08,2.69,4.91,3.92,1.89,5.49,4.57,46,26,1,0,Poor,10,37.29,32.62,49.72,46.07
138,19,Female,High School,1.36,3.88,3.71,3.76,1.04,5.76,6.19,150,0,0,0,Good,6,5.04,28.68,7.98,12.57
139,17,Other,High School,3.85,0.62,1.75,4.16,1.7,7.71,6.39,112,87,1,1,Poor,5,8.93,7.9,22.63,36.98
140,23,Other,High School,4.55,2.27,3.29,3.39,1.22,7.08,14.0,147,164,1,0,Average,10,16.37,27.95,46.02,39.93
141,19,Female,High School,6.35,2.54,0.6,1.76,2.68,8.11,8.39,78,103,1,1,Poor,3,17.4,0.0,33.77,32.75
142,16,Other,High School,1.83,2.24,2.3,3.1,1.22,6.79,6.31,88,290,0,0,Good,8,2.95,9.61,14.39,18.15
143,19,Female,High School,4.08,2.9,2.0,2.39,0.88,8.09,7.67,150,19,1,1,Good,2,8.73,6.95,26.13,8.78
144,20,Other,High School,0.01,1.31,2.62,3.33,0.0,6.63,5.91,62,199,0,0,Average,6,2.19,14.07,1.56,7.03
145,22,Other,High School,1.86,1.48,2.15,1.92,1.49,5.61,9.14,81,375,0,0,Poor,7,3.74,23.43,15.12,21.29
146,22,Female,High School,6.75,0.77,1.79,5.25,0.71,7.17,6.95,44,340,1,1,Good,10,17.74,16.44,22.95,48.61
147,17,Female,High School,2.38,0.0,2.53,1.88,1.01,7.25,6.4,64,0,1,0,Poor,2,1.63,13.99,8.44,14.07
148,24,Other,High School,3.78,2.1,1.9,0.76,1.4,5.8,6.67,119,0,1,0,Average,2,8.22,8.0,23.86,25.76
149,19,Other,High School,5.38,2.22,2.11,2.03,1.54,6.46,3.81,66,216,1,1,Good,5,14.36,25.65,24.96,27.14
150,17,Male,High School,2.02,3.3,2.57,4.75,1.65,6.48,5.42,48,404,0,1,Good,10,6.35,23.52,26.7,26.69
151,19,Other,High School,5.74,1.64,2.56,2.65,1.91,8.1,7.96,150,283,1,1,Good,9,13.54,21.46,36.15,37.73
152,18,Female,High School,7.06,3.91,3.46,4.73,1.36,6.15,1.98,113,210,1,1,Poor,4,18.0,15.11,31.87,33.01
153,17,Female,High School,4.9,3.72,2.56,3.14,3.19,6.67,5.58,78,16,0,1,Poor,3,16.23,16.85,18.62,24.62
154,23,Other,High School,6.54,1.72,2.77,2.05,0.92,6.35,5.09,95,54,0,0,Average,6,16.49,4.94,42.91,40.09
155,23,Male,High School,5.79,2.78,1.26,1.66,1.4,8.54,2.57,91,0,0,1,Good,4,26.9,0.0,24.65,31.7
156,22,Male,High School,6.78,2.37,1.39,4.17,1.64,7.04,13.02,104,267,1,1,Average,9,20.52,22.26,50.31,35.03
157,19,Male,High School,7.5,2.69,2.18,1.69,3.91,7.61,9.43,73,500,1,1,Average,1,16.39,13.98,32.35,42.59
158,21,Other,High School,6.71,2.32,4.18,4.2,2.1,6.53,5.95,0,307,0,0,Good,2,20.53,34.84,24.14,33.44
159,22,Other,High School,4.43,2.62,1.78,5.03,2.63,6.86,7.62,127,79,1,1,Good,1,10.47,17.94,10.62,17.68
160,16,Female,High School,2.7,2.94,2.52,3.33,3.42,7.38,3.96,98,179,1,1,Good,9,17.68,10.6,14.35,13.84
161,18,Male,High School,0.11,1.75,0.22,1.68,2.98,5.37,6.51,110,437,0,1,Good,10,0.56,6.78,14.61,12.91
162,20,Female,High School,3.07,3.36,0.59,2.77,2.63,6.73,8.07,40,193,1,0,Good,10,8.7,7.99,17.24,36.73
163,24,Other,High School,4.87,3.26,3.36,1.21,1.73,7.75,6.33,115,427,1,0,Average,1,10.38,1.63,15.87,22.54
164,21,Female,High School,3.05,2.2,1.09,3.12,1.5,6.18,1.6,101,126,0,0,Good,3,11.52,2.04,10.1,11.93
165,20,Male,High School,1.09,0.97,0.28,1.64,3.79,8.08,1.75,62,121,1,0,Average,1,0.0,0.0,1.0,1.0
166,17,Female,High School,4.89,4.48,1.66,4.81,1.57,5.89,6.7,109,67,1,0,Average,1,14.66,26.57,20.82,27.84
167,18,Female,High School,3.07,0.61,1.46,2.15,3.02,7.06,10.55,76,447,0,0,Good,2,11.98,18.59,12.11,14.41
168,17,Other,High School,5.65,2.06,1.18,2.46,1.4,7.73,7.9,66,253,0,1,Good,6,12.32,0.0,35.01,30.7
169,18,Other,High School,5.72,1.87,0.47,2.11,0.0,4.68,6.0,95,298,0,0,Average,1,22.89,10.83,27.46,31.16
170,21,Other,High School,6.14,1.69,0.98,3.62,1.19,7.72,6.62,109,392,0,1,Good,4,9.17,1.71,33.23,27.98
171,24,Male,High School,2.67,0.0,2.7,4.36,2.36,7.6,5.96,47,101,1,1,Good,3,0.0,22.19,10.39,7.57
172,16,Female,High School,2.89,1.86,1.4,4.29,2.53,8.3,9.41,96,285,1,1,Average,2,2.62,4.83,4.84,14.63
173,18,Other,High School,4.61,2.45,1.91,5.16,1.96,6.06,7.29,107,0,0,1,Poor,4,16.66,29.37,14.75,20.17
174,16,Male,High School,0.86,3.39,3.36,1.52,1.25,5.78,5.83,2,147,1,1,Good,4,0.0,15.32,6.83,1.0
175,22,Female,High School,4.57,3.26,2.29,4.0,2.69,7.04,6.01,93,200,0,0,Poor,2,18.96,17.76,18.09,22.06
176,21,Other,High School,7.45,1.87,3.59,3.67,1.28,7.35,3.01,115,259,0,1,Good,3,29.57,12.42,37.32,41.03
177,22,Male,High School,5.86,2.29,0.22,3.61,0.88,6.13,5.23,150,230,1,1,Poor,9,17.37,0.0,34.99,31.04
178,23,Male,High School,5.01,0.16,3.53,3.4,2.39,7.46,1.42,77,187,1,0,Good,7,10.45,20.19,31.64,33.16
179,17,Other,High School,4.44,1.74,1.95,1.5,2.59,7.15,6.95,150,377,0,1,Average,5,14.36,1.79,20.63,36.72
180,19,Female,High School,3.2,1.09,2.89,0.47,2.17,5.59,6.95,58,3,0,1,Poor,1,10.88,0.0,26.09,16.51
181,19,Female,High School,10.0,1.62,2.96,3.36,1.26,6.87,3.12,41,0,0,0,Good,1,33.03,17.61,40.22,42.9
182,19,Other,High School,4.99,2.95,2.53,3.07,2.17,8.51,13.56,127,6,1,1,Average,1,10.55,15.75,21.91,27.93
183,21,Male,High School,4.62,1.84,2.18,6.43,1.87,5.64,1.0,93,90,1,0,Poor,5,12.37,29.31,22.07,24.86
184,22,Female,High School,5.0,3.02,1.65,2.27,0.65,6.42,8.35,25,213,1,1,Poor,10,18.98,12.07,30.47,35.8
185,17,Other,High School,4.79,2.08,2.03,4.22,2.19,5.26,5.6,45,342,0,0,Average,4,15.46,23.16,12.28,24.46
186,16,Other,High School,5.0,2.27,1.45,2.55,2.09,6.48,5.64,113,289,0,1,Poor,7,12.5,12.25,20.49,31.58
187,20,Male,High School,3.8,0.34,1.2,2.98,2.62,8.62,9.73,79,0,0,1,Good,6,10.11,4.43,21.33,25.68
188,17,Female,High School,3.71,2.77,3.42,3.4,0.88,6.62,5.14,106,17,1,0,Good,8,17.23,25.71,18.2,19.38
189,22,Female,High School,5.66,1.55,0.87,3.51,0.64,5.57,8.62,90,226,0,0,Poor,6,14.11,13.21,30.19,35.37
190,19,Male,High School,5.82,1.59,2.27,5.09,0.74,8.15,6.05,73,162,1,1,Good,4,16.27,24.83,30.58,42.96
191,21,Other,High School,4.12,2.52,0.69,3.21,3.35,6.9,7.75,102,288,1,0,Good,6,9.64,11.59,19.46,28.68
192,18,Other,High School,5.94,1.91,2.8,4.03,2.13,6.89,9.81,80,197,0,1,Poor,10,17.35,34.81,40.75,40.0
193,16,Female,High School,4.81,1.75,1.2,4.62,0.6,5.81,9.57,142,435,1,1,Good,7,9.48,32.0,18.83,30.03
194,18,Female,High School,4.88,3.34,2.91,4.72,0.0,6.66,7.08,99,261,1,0,Average,3,12.45,26.59,17.99,28.02
195,17,Male,High School,4.66,0.35,1.59,4.28,1.56,6.67,3.38,101,247,0,1,Average,7,6.15,11.98,26.31,35.53
196,17,Male,High School,2.83,2.1,0.0,3.81,1.27,8.87,7.62,118,330,1,1,Good,6,11.34,5.92,10.94,18.79
197,19,Male,High School,2.49,3.83,2.74,3.41,2.97,5.79,6.97,66,212,1,0,Poor,1,15.18,39.65,4.13,13.31
198,18,Male,High School,2.9,2.74,2.59,3.66,0.79,5.97,4.66,42,238,1,0,Poor,4,8.4,14.88,14.28,32.38
199,21,Female,High School,2.36,2.84,2.11,5.14,2.89,7.01,8.78,58,120,1,1,Average,8,0.0,30.81,20.32,18.26
200,20,Other,High School,0.07,2.54,0.0,1.6,1.16,7.4,10.15,150,466,0,1,Average,9,0.0,0.0,9.32,13.23
